Player,Runs,Balls,4s,6s,SR,Team,Opposition,Ground,Match Date
BR Dunk,99*,40,3,12,247.50,Qalandars,v Kings,Lahore,8 Mar 2020
BR Dunk,93,43,3,10,216.27,Qalandars,v Gladiators,Lahore,3 Mar 2020
Umar Akmal,93,40,6,8,232.50,Qalandars,v Gladiators,Dubai (DSC),8 Feb 2016
Sharjeel Khan,117,62,12,8,188.70,United,v Zalmi,Dubai (DSC),21 Feb 2016
KP Pietersen,88*,42,3,8,209.52,Gladiators,v Qalandars,Sharjah,18 Feb 2017
Kamran Akmal,77,27,5,8,285.18,Zalmi,v Kings,Lahore,21 Mar 2018
CA Ingram,127*,59,12,8,215.25,Kings,v Gladiators,Sharjah,24 Feb 2019
CA Lynn,113*,55,12,8,205.45,Qalandars,v Sultans,Lahore,15 Mar 2020
SR Watson,79,47,4,7,168.08,United,v Qalandars,Sharjah,10 Feb 2016
Sharjeel Khan,79*,43,5,7,183.72,United,v Qalandars,Sharjah,10 Feb 2016
Kamran Akmal,104,65,6,7,160.00,Zalmi,v Kings,Dubai (DSC),3 Mar 2017
Sohaib Maqsood,85*,42,4,7,202.38,Sultans,v Zalmi,Dubai (DSC),6 Mar 2018
SR Watson,90*,58,5,7,155.17,Gladiators,v Kings,Dubai (DSC),8 Mar 2018
AP Devcich,70,42,2,7,166.66,Qalandars,v Zalmi,Sharjah,16 Mar 2018
Kamran Akmal,107*,61,11,7,175.40,Zalmi,v Qalandars,Sharjah,16 Mar 2018
Mohammad Hafeez,98*,57,7,7,171.92,Qalandars,v United,Lahore,23 Feb 2020
SR Watson,80,41,7,7,195.12,Gladiators,v Sultans,Multan,29 Feb 2020
CH Gayle,60,34,3,6,176.47,Qalandars,v Gladiators,Dubai (DSC),16 Feb 2016
BJ Hodge,85*,45,6,6,188.88,Zalmi,v Kings,Dubai (DSC),17 Feb 2016
Kamran Akmal,88,48,6,6,183.33,Zalmi,v United,Dubai (DSC),9 Feb 2017
Mohammad Hafeez,77,47,5,6,163.82,Zalmi,v Gladiators,Sharjah,28 Feb 2017
L Ronchi,77,41,5,6,187.80,United,v Qalandars,Dubai (DSC),8 Mar 2018
KA Pollard,73,47,5,6,155.31,Sultans,v United,Sharjah,13 Mar 2018
Fakhar Zaman,94,50,9,6,188.00,Qalandars,v Gladiators,Sharjah,14 Mar 2018
Kamran Akmal,75,51,3,6,147.05,Zalmi,v Kings,Sharjah,15 Mar 2018
CA Ingram,68*,39,1,6,174.35,Kings,v United,Dubai (DSC),18 Mar 2018
LS Livingstone,82,43,6,6,190.69,Kings,v Sultans,Dubai (DSC),15 Feb 2019
JM Vince,84,41,7,6,204.87,Sultans,v Qalandars,Sharjah,22 Feb 2019
Asif Ali,70,38,5,6,184.21,United,v Kings,Dubai (DSC),27 Feb 2019
SR Watson,91*,55,6,6,165.45,Gladiators,v Zalmi,Abu Dhabi,4 Mar 2019
CS Delport,117*,60,13,6,195.00,United,v Qalandars,Karachi,9 Mar 2019
Asif Ali,55*,21,3,6,261.90,United,v Qalandars,Karachi,9 Mar 2019
Ahmed Shehzad,99,57,8,6,173.68,Gladiators,v Kings,Karachi,10 Mar 2019
SR Watson,71,43,5,6,165.11,Gladiators,v Zalmi,Karachi,13 Mar 2019
RR Rossouw,100*,44,10,6,227.27,Sultans,v Gladiators,Multan,29 Feb 2020
Khushdil Shah,70*,29,5,6,241.37,Sultans,v Qalandars,Lahore,15 Mar 2020
