Player,Span,Mat,Inns,Dis,Ct,St,Max Dis Inns,Dis/Inn
Kamran Akmal,2016-2020,56,54,44,36,8,4 (4ct 0st),0.814
Sarfaraz Ahmed,2016-2020,52,52,35,25,10,3 (3ct 0st),0.673
Mohammad Rizwan,2016-2020,35,34,31,21,10,3 (0ct 3st),0.911
L Ronchi,2018-2020,31,31,22,19,3,3 (3ct 0st),0.709
KC Sangakkara,2016-2018,24,19,20,19,1,3 (3ct 0st),1.052
BR Dunk,2019-2020,18,14,15,12,3,4 (4ct 0st),1.071
BJ Haddin,2016-2017,17,17,12,11,1,2 (2ct 0st),0.705
CAK Walton,2018-2020,21,11,9,9,0,2 (2ct 0st),0.818
Zeeshan Ashraf,2020-2020,11,10,8,7,1,3 (3ct 0st),0.800
DJ Vilas,2020-2020,5,5,5,4,1,3 (3ct 0st),1.000
Umar Siddiq,2019-2019,7,6,5,4,1,2 (1ct 1st),0.833
Mushfiqur Rahim,2016-2016,3,3,3,1,2,2 (1ct 1st),1.000
Imam-ul-Haq,2019-2020,16,1,2,2,0,2 (2ct 0st),2.000
SW Billings,2016-2017,10,3,2,2,0,1 (1ct 0st),0.666
Gulraiz Sadaf,2018-2018,5,5,2,2,0,1 (1ct 0st),0.400
Saifullah Bangash,2016-2016,5,5,2,2,0,1 (1ct 0st),0.400
J Charles,2019-2019,7,1,1,1,0,1 (1ct 0st),1.000
PD Salt,2019-2020,7,1,1,1,0,1 (1ct 0st),1.000
Umar Akmal,2016-2019,32,1,1,1,0,1 (1ct 0st),1.000
TJ Moores,2019-2019,3,2,1,0,1,1 (0ct 1st),0.500
Gauhar Ali,2019-2019,3,3,1,1,0,1 (1ct 0st),0.333
D Ramdin,2018-2018,4,4,1,1,0,1 (1ct 0st),0.250
Shakeel Ansar,2019-2019,1,1,0,0,0,0,0.000
Umair Masood,2019-2019,1,1,0,0,0,0,0.000
BRM Taylor,2019-2019,4,4,0,0,0,0,0.000
MH Wessels,2016-2019,8,4,0,0,0,0,0.000
