Team,Score,Overs,RR,Inns,Opposition,Ground,Match Date
United,238/3,20.0,11.9,1,v Qalandars,Karachi,9 Mar 2019
Zalmi,214/5,20.0,10.7,1,v United,Karachi,15 Mar 2019
Qalandars,209/5,20.0,10.45,1,v Gladiators,Lahore,3 Mar 2020
Qalandars,204/4,20.0,10.2,2,v Sultans,Sharjah,22 Feb 2019
Gladiators,203/8,20.0,10.15,2,v Qalandars,Dubai (DSC),16 Feb 2016
Zalmi,203/7,20.0,10.15,1,v Kings,Karachi,11 Mar 2019
Gladiators,202/5,18.5,10.72,2,v Qalandars,Sharjah,18 Feb 2017
Qalandars,201/2,20.0,10.05,1,v Gladiators,Dubai (DSC),16 Feb 2016
Kings,201/4,20.0,10.05,1,v Zalmi,Karachi,21 Feb 2020
Qalandars,200/3,20.0,10,1,v Gladiators,Sharjah,18 Feb 2017
Gladiators,200/7,20.0,10,1,v Zalmi,Sharjah,28 Feb 2017
Sultans,200/6,20.0,10,1,v Qalandars,Sharjah,22 Feb 2019
Zalmi,199/9,20.0,9.95,2,v Gladiators,Sharjah,28 Feb 2017
Sultans,199/5,20.0,9.95,1,v Gladiators,Multan,29 Feb 2020
United,198/3,20.0,9.9,1,v Qalandars,Lahore,4 Mar 2020
United,195/5,20.0,9.75,1,v Zalmi,Rawalpindi,7 Mar 2020
Qalandars,194/3,20.0,9.7,1,v Gladiators,Dubai (DSC),8 Feb 2016
Qalandars,191/1,18.5,10.14,2,v Sultans,Lahore,15 Mar 2020
Zalmi,191/7,20.0,9.55,2,v Kings,Karachi,21 Feb 2020
Qalandars,190/2,19.1,9.91,2,v Kings,Lahore,8 Mar 2020
Gladiators,190/5,19.4,9.66,2,v United,Rawalpindi,27 Feb 2020
Zalmi,190/9,20.0,9.5,1,v United,Dubai (DSC),9 Feb 2017
Kings,190/5,20.0,9.5,1,v Gladiators,Karachi,10 Mar 2019
Qalandars,189/5,19.5,9.52,2,v Zalmi,Lahore,10 Mar 2020
Qalandars,189/9,20.0,9.45,2,v United,Karachi,9 Mar 2019
Gladiators,189/7,20.0,9.45,2,v Kings,Karachi,10 Mar 2019
Kings,188/4,18.4,10.07,2,v Gladiators,Sharjah,24 Feb 2019
Kings,188/3,20.0,9.4,1,v Sultans,Dubai (DSC),10 Mar 2018
Kings,187/5,18.4,10.01,2,v United,Rawalpindi,1 Mar 2020
United,187/7,20.0,9.35,1,v Gladiators,Rawalpindi,27 Feb 2020
Kings,187/5,20.0,9.35,1,v Qalandars,Lahore,8 Mar 2020
Zalmi,187/7,20.0,9.35,1,v Qalandars,Lahore,10 Mar 2020
Qalandars,186/4,20.0,9.3,1,v Gladiators,Sharjah,14 Mar 2018
Gladiators,186/5,20.0,9.3,1,v Kings,Sharjah,24 Feb 2019
Gladiators,186/6,20.0,9.3,1,v Zalmi,Karachi,13 Mar 2019
Sultans,186/6,20.0,9.3,1,v Kings,Multan,28 Feb 2020
Sultans,186/6,20.0,9.3,1,v Qalandars,Lahore,15 Mar 2020
United,185/4,20.0,9.25,1,v Sultans,Sharjah,13 Mar 2018
United,183/9,19.5,9.22,2,v Qalandars,Lahore,23 Feb 2020
Sultans,183/3,20.0,9.15,1,v Zalmi,Dubai (DSC),6 Mar 2018
Kings,183/6,20.0,9.15,1,v Sultans,Dubai (DSC),15 Feb 2019
United,183/3,20.0,9.15,1,v Kings,Rawalpindi,1 Mar 2020
Zalmi,182/4,20.0,9.1,1,v Kings,Sharjah,11 Feb 2016
United,182/5,20.0,9.1,1,v Zalmi,Dubai (DSC),9 Mar 2018
Qalandars,182/6,20.0,9.1,1,v United,Lahore,23 Feb 2020
Qalandars,182/6,20.0,9.1,1,v Sultans,Karachi,15 Nov 2020
Zalmi,181/3,20.0,9.05,1,v Kings,Dubai (DSC),3 Mar 2017
Zalmi,181/6,20.0,9.05,1,v Kings,Sharjah,15 Mar 2018
Gladiators,180/4,20.0,9,1,v Kings,Dubai (DSC),8 Mar 2018
Gladiators,180/9,20.0,9,1,v United,Abu Dhabi,5 Mar 2019
