Team,Score,Overs,RR,Inns,Opposition,Ground,Match Date
Qalandars,59,10.2,5.7,1,v Zalmi,Dubai (DSC),12 Feb 2017
Qalandars,78,15.1,5.14,1,v Zalmi,Dubai (DSC),17 Feb 2019
United,82,15.2,5.34,2,v Kings,Sharjah,1 Mar 2017
Gladiators,90,16.3,5.45,2,v Zalmi,Lahore,5 Mar 2017
Gladiators,98/9,20.0,4.9,1,v Qalandars,Lahore,7 Mar 2020
Qalandars,100,17.2,5.76,1,v Zalmi,Sharjah,3 Mar 2018
Gladiators,102,15.4,6.51,1,v Sultans,Sharjah,3 Mar 2018
Gladiators,106,19.1,5.53,1,v Qalandars,Dubai (DSC),27 Feb 2019
Kings,109/9,20.0,5.45,2,v Zalmi,Sharjah,21 Feb 2019
Kings,111/9,20.0,5.55,1,v United,Dubai (DSC),20 Feb 2016
Kings,113/8,20.0,5.65,2,v Gladiators,Dubai (DSC),8 Mar 2018
Sultans,113,19.5,5.69,1,v United,Dubai (DSC),25 Feb 2018
Sultans,114,19.4,5.79,1,v Qalandars,Dubai (DSC),9 Mar 2018
Kings,116,19.5,5.84,2,v Qalandars,Dubai (DSC),16 Feb 2019
Qalandars,117/6,20.0,5.85,1,v Zalmi,Dubai (DSC),6 Feb 2016
United,117,19.1,6.1,1,v Gladiators,Sharjah,11 Feb 2016
Kings,118/7,20.0,5.9,1,v Zalmi,Dubai (DSC),10 Feb 2017
Sultans,118/7,20.0,5.9,1,v Kings,Abu Dhabi,4 Mar 2019
Qalandars,119/9,20.0,5.95,1,v Gladiators,Dubai (DSC),24 Feb 2018
United,121/9,20.0,6.05,2,v Zalmi,Dubai (DSC),5 Feb 2016
United,121/9,20.0,6.05,1,v Qalandars,Sharjah,2 Mar 2018
Sultans,121,20.0,6.05,1,v Gladiators,Dubai (DSC),1 Mar 2019
Qalandars,121,19.4,6.15,2,v United,Sharjah,2 Mar 2018
United,121,17.4,6.84,1,v Sultans,Dubai (DSC),26 Feb 2019
Zalmi,123,18.3,6.64,1,v Sultans,Multan,26 Feb 2020
Qalandars,124/7,20.0,6.2,1,v Zalmi,Abu Dhabi,5 Mar 2019
United,124,19.0,6.52,1,v Kings,Sharjah,16 Mar 2018
Qalandars,125/8,20.0,6.25,1,v Kings,Dubai (DSC),5 Feb 2016
United,125/7,20.0,6.25,1,v Sultans,Dubai (DSC),16 Feb 2019
Sultans,125,19.4,6.35,2,v Kings,Dubai (DSC),10 Mar 2018
Kings,126/9,20.0,6.3,1,v Gladiators,Sharjah,13 Feb 2016
Kings,126,19.4,6.4,1,v United,Sharjah,1 Mar 2017
Zalmi,126,18.0,7,2,v United,Dubai (DSC),21 Feb 2016
Qalandars,127,18.5,6.74,2,v United,Lahore,4 Mar 2020
United,128/7,20.0,6.4,1,v Gladiators,Dubai (DSC),4 Feb 2016
Kings,128/5,20.0,6.4,1,v United,Sharjah,14 Feb 2016
Gladiators,128,20.0,6.4,1,v Zalmi,Dubai (DSC),25 Feb 2017
Qalandars,128,18.4,6.85,2,v Gladiators,Dubai (DSC),10 Feb 2017
Gladiators,129,18.0,7.16,1,v Zalmi,Sharjah,14 Feb 2016
Kings,130/9,20.0,6.5,2,v United,Dubai (DSC),7 Feb 2016
Gladiators,130/9,20.0,6.5,2,v Kings,Dubai (DSC),23 Feb 2018
Zalmi,131/9,20.0,6.55,1,v Kings,Dubai (DSC),25 Feb 2018
Gladiators,131,16.2,8.02,2,v Qalandars,Dubai (DSC),8 Feb 2016
United,132/8,20.0,6.6,1,v Kings,Dubai (DSC),7 Feb 2016
Zalmi,132/9,20.0,6.6,2,v Gladiators,Dubai (DSC),19 Feb 2016
Qalandars,132,18.3,7.13,2,v Kings,Dubai (DSC),26 Feb 2018
Qalandars,133/5,20.0,6.65,1,v Kings,Dubai (DSC),28 Feb 2019
Gladiators,133,19.3,6.82,1,v Zalmi,Dubai (DSC),19 Feb 2016
